Company ID,Cluster ID,Cluster Name,Distance from Cluster Centroid
ABB,3,Value Plays,0.6279
ADANIENSOL,3,Value Plays,1.4222
ADANIENT,3,Value Plays,1.4813
ADANIGREEN,1,High Growth (Leveraged),2.55
ADANIPORTS,4,Capital Intensive,1.5062
ADANIPOWER,3,Value Plays,1.176
AMBUJACEM,3,Value Plays,0.9874
APOLLOHOSP,3,Value Plays,0.6511
ASIANPAINT,3,Value Plays,0.4266
ATGL,3,Value Plays,1.4017
AXISBANK,1,High Growth (Leveraged),1.061
BAJAJ-AUTO,3,Value Plays,0.628
BAJAJFINSV,1,High Growth (Leveraged),0.7578
BAJAJHLDNG,4,Capital Intensive,2.5815
BAJFINANCE,1,High Growth (Leveraged),1.3294
BANKBARODA,1,High Growth (Leveraged),2.0501
BEL,2,Quality Compounders,0.7925
BHARTIARTL,4,Capital Intensive,1.3229
BHEL,3,Value Plays,2.452
BOSCHLTD,3,Value Plays,0.9515
BPCL,3,Value Plays,0.5557
BRITANNIA,3,Value Plays,1.6613
CANBK,1,High Growth (Leveraged),2.9966
CHOLAFIN,1,High Growth (Leveraged),0.6894
CIPLA,0,High Growth,0.0
COALINDIA,4,Capital Intensive,1.2287
DABUR,3,Value Plays,0.8595
DIVISLAB,3,Value Plays,0.7578
DLF,3,Value Plays,2.4761
DMART,3,Value Plays,1.4734
DRREDDY,3,Value Plays,1.2673
EICHERMOT,3,Value Plays,0.4692
GAIL,3,Value Plays,0.4435
GODREJCP,3,Value Plays,0.6452
GRASIM,3,Value Plays,0.8251
HAL,2,Quality Compounders,0.7925
HAVELLS,3,Value Plays,0.9821
HCLTECH,3,Value Plays,0.5153
HDFCBANK,1,High Growth (Leveraged),0.695
HDFCLIFE,4,Capital Intensive,1.3995
HEROMOTOCO,4,Capital Intensive,1.7919
HINDALCO,4,Capital Intensive,0.6317
HINDUNILVR,4,Capital Intensive,0.8283
ICICIBANK,1,High Growth (Leveraged),0.8279
ICICIGI,4,Capital Intensive,0.8522
ICICIPRULI,4,Capital Intensive,2.3209
INDIGO,4,Capital Intensive,2.587
INDUSINDBK,1,High Growth (Leveraged),0.7423
INFY,3,Value Plays,0.4024
IOC,3,Value Plays,0.6021
IRCTC,3,Value Plays,1.4305
IRFC,1,High Growth (Leveraged),2.2263
ITC,3,Value Plays,0.8625
JINDALSTEL,3,Value Plays,1.3558
JIOFIN,4,Capital Intensive,0.893
JSWENERGY,3,Value Plays,1.3866
JSWSTEEL,3,Value Plays,0.7342
KOTAKBANK,4,Capital Intensive,1.2512
LICI,3,Value Plays,2.1468
LODHA,3,Value Plays,2.1266
LT,3,Value Plays,0.8185
LTIM,3,Value Plays,2.8146
M&M,3,Value Plays,0.8316
MARUTI,3,Value Plays,0.3665
MOTHERSON,3,Value Plays,0.6544
NAUKRI,3,Value Plays,0.9544
NESTLEIND,3,Value Plays,0.6202
NHPC,3,Value Plays,2.0146
NTPC,3,Value Plays,0.4966
ONGC,3,Value Plays,0.5726
PFC,1,High Growth (Leveraged),1.5194
PIDILITIND,3,Value Plays,0.4963
PNB,1,High Growth (Leveraged),1.2712
POWERGRID,4,Capital Intensive,1.5891
RECLTD,4,Capital Intensive,2.1695
RELIANCE,3,Value Plays,0.2167
SBILIFE,3,Value Plays,2.1689
SBIN,1,High Growth (Leveraged),0.9454
SHREECEM,3,Value Plays,0.2229
SHRIRAMFIN,1,High Growth (Leveraged),1.1835
SIEMENS,3,Value Plays,1.4873
SUNPHARMA,3,Value Plays,1.1458
TATACONSUM,3,Value Plays,1.7904
TATAMOTORS,3,Value Plays,0.5951
TATAPOWER,3,Value Plays,0.9248
TATASTEEL,3,Value Plays,0.6415
TCS,3,Value Plays,0.2885
TECHM,3,Value Plays,0.6514
TITAN,3,Value Plays,1.6481
TORNTPHARM,3,Value Plays,0.7097
TRENT,1,High Growth (Leveraged),3.4456
TVSMOTOR,3,Value Plays,1.3145
ULTRACEMCO,3,Value Plays,0.2828
UNIONBANK,3,Value Plays,0.2828
UNITDSPR,3,Value Plays,0.2828
VBL,3,Value Plays,0.2828
VEDL,3,Value Plays,0.2828
WIPRO,3,Value Plays,0.2828
ZOMATO,3,Value Plays,0.2828
ZYDUSLIFE,3,Value Plays,0.2828
