Company ID,Company Name,Sector,Latest Operating Cash Flow (CFO),Latest Cash Flow from Financing (CFF),Latest Net Profit,Distress Reason
AXISBANK,Axis Bank Ltd,Financials,-5555.0,22341.0,24861.0,"Operating Cash Flow is negative (CFO < 0) while Financing Cash Flow is positive (CFF > 0), indicating operations are dependent on external debt/equity financing."
BAJAJFINSV,Bajaj Finserv Ltd,Financials,-68674.0,82709.0,15595.0,"Operating Cash Flow is negative (CFO < 0) while Financing Cash Flow is positive (CFF > 0), indicating operations are dependent on external debt/equity financing."
BAJFINANCE,Bajaj Finance Ltd,Financials,-72760.0,82415.0,14451.0,"Operating Cash Flow is negative (CFO < 0) while Financing Cash Flow is positive (CFF > 0), indicating operations are dependent on external debt/equity financing."
BANKBARODA,Bank of Baroda,Financials,-6274.0,5476.0,18869.0,"Operating Cash Flow is negative (CFO < 0) while Financing Cash Flow is positive (CFF > 0), indicating operations are dependent on external debt/equity financing."
BHEL,Bharat Heavy Electricals Limited,Industrials,-3713.0,2656.0,282.0,"Operating Cash Flow is negative (CFO < 0) while Financing Cash Flow is positive (CFF > 0), indicating operations are dependent on external debt/equity financing."
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,-35683.0,38471.0,3420.0,"Operating Cash Flow is negative (CFO < 0) while Financing Cash Flow is positive (CFF > 0), indicating operations are dependent on external debt/equity financing."
GRASIM,Grasim Industries Ltd,Industrials,-10719.0,33908.0,9926.0,"Operating Cash Flow is negative (CFO < 0) while Financing Cash Flow is positive (CFF > 0), indicating operations are dependent on external debt/equity financing."
M&M,Mahindra & Mahindra Ltd,Consumer Discretionary,-5630.0,12281.0,12270.0,"Operating Cash Flow is negative (CFO < 0) while Financing Cash Flow is positive (CFF > 0), indicating operations are dependent on external debt/equity financing."
PFC,Power Finance Corporation Ltd,Financials,-97820.0,101261.0,26461.0,"Operating Cash Flow is negative (CFO < 0) while Financing Cash Flow is positive (CFF > 0), indicating operations are dependent on external debt/equity financing."
PNB,Punjab National Bank,Financials,-27939.0,3518.0,9157.0,"Operating Cash Flow is negative (CFO < 0) while Financing Cash Flow is positive (CFF > 0), indicating operations are dependent on external debt/equity financing."
RECLTD,REC Ltd,Financials,-57723.0,59588.0,14145.0,"Operating Cash Flow is negative (CFO < 0) while Financing Cash Flow is positive (CFF > 0), indicating operations are dependent on external debt/equity financing."
SHRIRAMFIN,Shriram Finance Ltd,Financials,-31101.0,27609.0,7399.0,"Operating Cash Flow is negative (CFO < 0) while Financing Cash Flow is positive (CFF > 0), indicating operations are dependent on external debt/equity financing."
TVSMOTOR,TVS Motor Company Ltd,Consumer Discretionary,-1253.0,2759.0,1779.0,"Operating Cash Flow is negative (CFO < 0) while Financing Cash Flow is positive (CFF > 0), indicating operations are dependent on external debt/equity financing."
